A103VCTO.PRW	04/09/2025 14:59:08	3957	ADVPL
DORMAILPC.PRW	04/09/2025 14:59:10	22384	ADVPL
DTFORNFIX.PRW	04/09/2025 14:59:13	25694	ADVPL
ENVIAEMAIL.PRW	04/09/2025 14:59:15	3730	ADVPL
F0100401.PRW	04/09/2025 14:59:18	85043	ADVPL
F0100404.PRW	04/09/2025 14:59:20	39512	ADVPL
F0101004.PRW	04/09/2025 14:59:24	8872	ADVPL
F0201104.PRW	04/09/2025 14:59:26	17950	ADVPL
F0400101.PRW	04/09/2025 14:59:28	92381	ADVPL
F0700101.PRW	04/09/2025 14:59:30	2475	ADVPL
F0700701.PRW	04/09/2025 14:59:32	4302	ADVPL
F0702401.PRW	04/09/2025 14:59:34	7174	ADVPL
F0702402.PRW	04/09/2025 14:59:35	29584	ADVPL
F0703301.PRW	04/09/2025 14:59:37	41998	ADVPL
F0900102.PRW	04/09/2025 14:59:39	2023	ADVPL
F1200501.PRW	04/09/2025 14:59:41	21824	ADVPL
F1200902.PRW	04/09/2025 14:59:43	4242	ADVPL
F1205601.PRW	04/09/2025 14:59:44	1380	ADVPL
F1206401.PRW	04/09/2025 14:59:46	39193	ADVPL
F1206501.PRW	04/09/2025 14:59:48	2147	ADVPL
F1207201.PRW	04/09/2025 14:59:51	22132	ADVPL
F2001031.PRW	04/09/2025 14:59:52	15366	ADVPL
FRPMED1.PRW	04/09/2025 14:59:55	90384	ADVPL
MSCHKCOND.PRW	04/09/2025 14:59:57	7049	ADVPL
MSEMAILPC.PRW	04/09/2025 14:59:59	1936	ADVPL
MT094LOK.PRW	04/09/2025 15:00:01	5796	ADVPL
PE_MT100TOK.PRW	04/09/2025 15:00:03	10463	ADVPL
PE_MT120GRV.PRW	04/09/2025 15:03:10	4401	ADVPL
RDELIMRES.PRW	04/09/2025 15:00:05	20926	ADVPL
RDRESIDPC.PRW	04/09/2025 15:00:08	33348	ADVPL
REDA003.PRW	04/09/2025 15:00:10	16217	ADVPL
REDI002.PRW	04/09/2025 15:00:13	28742	ADVPL
REDWS1.PRW	04/09/2025 15:00:15	29848	ADVPL
RSGPSS.PRW	04/09/2025 15:00:17	10875	ADVPL
S0100401.PRW	04/09/2025 15:00:19	115819	ADVPL
TEWBTYC2.PRW	04/09/2025 15:03:14	25219	ADVPL
TEWBTYP1.PRW	04/09/2025 15:00:21	39118	ADVPL
TEWBTYR2.PRW	04/09/2025 15:00:25	51624	ADVPL
UPD0247.PRW	04/09/2025 15:00:27	19553	ADVPL
WSBLQFOR.PRW	04/09/2025 15:00:29	4047	ADVPL
XF01004MJ.PRW	04/09/2025 15:00:31	11931	ADVPL
XKPTINBALL.TLPP	04/09/2025 15:00:33	24285	ADVPL
XKPTMNTLOG.PRW	04/09/2025 15:00:35	9437	ADVPL
XMATA094.PRW	04/09/2025 15:00:37	52886	ADVPL
